14,26,15,17,37,19,7,4,4,1,11,5,10,3,2,5,3,3,3,2,3,11,3,1,3,8,1,5,2,1,4,5,0,2,5,1,1,5,0,1,0,1,1,0,1,0,2,1,4,0,0,1,1,0,3,0,0,2,1,1,4,8,4,3,1,0,1,0,2,2
14,16,24,20,13,4,6,7,8,12,3,5,0,4,0,1,0,10,1,9,8,2,3,0,5,0,2,4,2,5,1,0,4,0,4,2,6,9,8,4,0,9,8,3,9,0,1,4,6,0,11,0,1,1,8,0,0,4,4,12,3,5,2,2,2,2,2,1,0,2
11,11,4,5,11,7,1,2,3,5,3,1,3,2,0,1,2,2,0,0,4,2,0,1,3,0,1,1,0,1,2,2,1,1,2,2,0,1,0,0,2,0,1,1,3,0,0,0,3,3,0,0,0,0,0,0,4,2,5,2,0,0,0,0,0,0,0,0,3,0
15,12,8,1,6,8,5,2,4,10,1,0,2,1,0,2,0,1,0,2,2,0,3,0,1,2,0,3,1,2,0,1,0,0,0,0,2,1,1,1,2,1,0,0,2,1,0,0,2,0,0,0,1,0,1,0,1,2,3,0,3,0,0,0,0,3,1,1,4,1
14,10,8,5,1,4,0,1,1,3,2,0,10,1,6,4,6,0,3,1,1,1,2,2,16,7,6,0,2,2,2,1,0,2,0,1,0,1,1,1,2,1,0,3,1,1,1,0,0,0,0,1,0,0,0,1,2,1,1,1,0,2,0,1,0,2,0,1,1,1
12,10,5,3,17,5,2,6,11,6,11,9,0,0,0,5,2,1,1,2,7,3,2,3,2,8,0,6,0,2,0,2,7,0,9,2,3,1,1,1,0,5,0,0,1,0,1,0,4,0,1,1,1,1,3,0,0,0,1,3,0,0,3,1,3,3,0,2,0,4
6,8,5,4,0,3,13,2,14,0,2,4,0,2,0,1,1,1,0,1,0,0,5,0,0,2,0,2,13,4,0,0,8,1,0,0,2,0,4,1,0,0,4,0,7,0,1,1,0,0,0,1,0,0,1,0,0,14,1,3,0,0,11,1,1,2,5,1,0,4
6,8,6,4,3,1,5,1,2,5,0,0,0,0,0,0,2,1,0,1,2,0,1,0,0,1,0,1,1,3,0,1,1,0,0,1,2,1,2,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,3,0,1,0,0,0,2,1,0
2,1,0,1,0,3,3,0,2,0,0,0,0,0,0,1,0,0,0,1,1,0,2,0,0,1,0,0,2,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,1,1,0,0,1,0,0,0
4,13,3,6,2,7,2,3,2,0,5,9,1,1,0,0,1,6,1,0,2,0,1,1,1,2,1,4,2,0,0,0,1,0,4,1,3,1,1,3,0,1,3,0,1,0,0,4,5,1,1,0,0,0,1,0,0,3,0,7,0,0,1,3,2,10,1,1,0,0
